nama;tempat_lahir;tanggal_lahir;nisn;nis;kelas;tingkatan_kelas;alamat;kontak;foto;nama_ibu;nama_ayah;jenis_kelamin;walikelas_id
SISWA 295;Kota 173;30/09/2170;12345203;6789203;XII-B;XII;Jl. Dummy No.173;76222621855;;Ibu Dummy 173;Ayah Dummy 173;P;2
SISWA 296;Kota 174;17/11/2171;12345204;6789204;XII-A;XII;Jl. Dummy No.174;76187735555;;Ibu Dummy 174;Ayah Dummy 174;L;3
SISWA 297;Kota 175;03/01/2173;12345205;6789205;XII-B;XII;Jl. Dummy No.175;76152849255;;Ibu Dummy 175;Ayah Dummy 175;P;1
SISWA 298;Kota 176;20/02/2174;12345206;6789206;XII-A;XII;Jl. Dummy No.176;76117962955;;Ibu Dummy 176;Ayah Dummy 176;L;2
SISWA 299;Kota 177;09/04/2175;12345207;6789207;XII-B;XII;Jl. Dummy No.177;76083076655;;Ibu Dummy 177;Ayah Dummy 177;P;3
SISWA 300;Kota 178;26/05/2176;12345208;6789208;XII-A;XII;Jl. Dummy No.178;76048190355;;Ibu Dummy 178;Ayah Dummy 178;L;1
SISWA 301;Kota 179;13/07/2177;12345209;6789209;XII-B;XII;Jl. Dummy No.179;76013304055;;Ibu Dummy 179;Ayah Dummy 179;P;2
SISWA 302;Kota 180;30/08/2178;12345210;6789210;XII-A;XII;Jl. Dummy No.180;75978417755;;Ibu Dummy 180;Ayah Dummy 180;L;3
SISWA 303;Kota 181;17/10/2179;12345211;6789211;XII-B;XII;Jl. Dummy No.181;75943531455;;Ibu Dummy 181;Ayah Dummy 181;P;1
SISWA 304;Kota 182;03/12/2180;12345212;6789212;XII-A;XII;Jl. Dummy No.182;75908645155;;Ibu Dummy 182;Ayah Dummy 182;L;2
SISWA 305;Kota 183;20/01/2182;12345213;6789213;XII-B;XII;Jl. Dummy No.183;75873758855;;Ibu Dummy 183;Ayah Dummy 183;P;3
SISWA 306;Kota 184;09/03/2183;12345214;6789214;XII-A;XII;Jl. Dummy No.184;75838872555;;Ibu Dummy 184;Ayah Dummy 184;L;1
SISWA 307;Kota 185;25/04/2184;12345215;6789215;XII-B;XII;Jl. Dummy No.185;75803986255;;Ibu Dummy 185;Ayah Dummy 185;P;2
SISWA 308;Kota 186;12/06/2185;12345216;6789216;XII-A;XII;Jl. Dummy No.186;75769099955;;Ibu Dummy 186;Ayah Dummy 186;L;3
SISWA 309;Kota 187;30/07/2186;12345217;6789217;XII-B;XII;Jl. Dummy No.187;75734213655;;Ibu Dummy 187;Ayah Dummy 187;P;1
SISWA 310;Kota 188;16/09/2187;12345218;6789218;XII-A;XII;Jl. Dummy No.188;75699327355;;Ibu Dummy 188;Ayah Dummy 188;L;2
SISWA 311;Kota 189;02/11/2188;12345219;6789219;XII-B;XII;Jl. Dummy No.189;75664441055;;Ibu Dummy 189;Ayah Dummy 189;P;3
SISWA 312;Kota 190;20/12/2189;12345220;6789220;XII-A;XII;Jl. Dummy No.190;75629554755;;Ibu Dummy 190;Ayah Dummy 190;L;1
SISWA 313;Kota 191;06/02/2191;12345221;6789221;XII-B;XII;Jl. Dummy No.191;75594668455;;Ibu Dummy 191;Ayah Dummy 191;P;2
SISWA 314;Kota 192;25/03/2192;12345222;6789222;XII-A;XII;Jl. Dummy No.192;75559782155;;Ibu Dummy 192;Ayah Dummy 192;L;3
SISWA 315;Kota 193;12/05/2193;12345223;6789223;XII-B;XII;Jl. Dummy No.193;75524895855;;Ibu Dummy 193;Ayah Dummy 193;P;1
SISWA 316;Kota 194;29/06/2194;12345224;6789224;XII-A;XII;Jl. Dummy No.194;75490009555;;Ibu Dummy 194;Ayah Dummy 194;L;2
SISWA 317;Kota 195;16/08/2195;12345225;6789225;XII-B;XII;Jl. Dummy No.195;75455123255;;Ibu Dummy 195;Ayah Dummy 195;P;3
SISWA 318;Kota 196;02/10/2196;12345226;6789226;XII-A;XII;Jl. Dummy No.196;75420236955;;Ibu Dummy 196;Ayah Dummy 196;L;1
SISWA 319;Kota 197;19/11/2197;12345227;6789227;XII-B;XII;Jl. Dummy No.197;75385350655;;Ibu Dummy 197;Ayah Dummy 197;P;2
SISWA 320;Kota 198;06/01/2199;12345228;6789228;XII-A;XII;Jl. Dummy No.198;75350464355;;Ibu Dummy 198;Ayah Dummy 198;L;3
SISWA 321;Kota 199;23/02/2200;12345229;6789229;XII-B;XII;Jl. Dummy No.199;75315578055;;Ibu Dummy 199;Ayah Dummy 199;P;1
SISWA 322;Kota 200;12/04/2201;12345230;6789230;XII-A;XII;Jl. Dummy No.200;75280691755;;Ibu Dummy 200;Ayah Dummy 200;L;2
SISWA 323;Kota 201;30/05/2202;12345231;6789231;XII-B;XII;Jl. Dummy No.201;75245805455;;Ibu Dummy 201;Ayah Dummy 201;P;3
SISWA 324;Kota 202;17/07/2203;12345232;6789232;XII-A;XII;Jl. Dummy No.202;75210919155;;Ibu Dummy 202;Ayah Dummy 202;L;1
SISWA 325;Kota 203;02/09/2204;12345233;6789233;XII-B;XII;Jl. Dummy No.203;75176032855;;Ibu Dummy 203;Ayah Dummy 203;P;2
SISWA 326;Kota 204;20/10/2205;12345234;6789234;XII-A;XII;Jl. Dummy No.204;75141146555;;Ibu Dummy 204;Ayah Dummy 204;L;3
